Symbol,DY,PB,PCYH,PCYL,PE,PEG,PS,SR,SECTOR
BBGI,1.93,1.29,-0.4915,1.2616,4.38,0.0,1.65,1.05,Consumer Services
BBBY,1.73,1.83,-0.2863,0.0143,7.61,1.27,0.41,6.11,Consumer Services
BELFA,1.15,1.555,-0.22818000000000002,0.38773,6.8,0.0,0.508,0.81,Capital Goods
BELFB,1.18,1.78,-0.2961,0.4069,7.73,0.0,0.58,6.7,Capital Goods
BNCL,1.64,1.0,-0.2263,0.1912,38.58,3.26,5.46,6.82,Finance
BGCP,6.13,3.94,-0.0076,0.43770000000000003,31.11,0.95,1.28,2.01,Finance
BGFV,4.38,1.44,-0.312,0.7178,13.25,0.77,0.29,10.17,Consumer Services
BIIB,0.0,4.67,-0.2483,0.1246,15.71,1.95,4.65,1.52,Health Care
BSTC,0.0,6.2,-0.1216,0.451,31.68,1.36,13.53,5.08,Health Care
TECH,1.15,4.57,-0.0513,0.1643,59.92,2.97,7.67,11.68,Health Care
BEAT,0.0,5.67,-0.15439999999999998,0.9531000000000001,17.96,1.45,3.95,1.79,Health Care
BIVV,0.0,10.16,-0.0466,0.3546,13.87,1.42,6.23,2.12,Health Care
BJRI,0.0,3.87,-0.0431,0.4113,24.82,1.52,0.99,4.67,Consumer Services
BLKB,0.58,15.54,-0.0046,0.49770000000000003,84.62,2.4,5.17,23.24,Technology
BLMN,1.58,10.08,-0.0776,0.292,44.43,1.22,0.49,6.27,Consumer Services
BUFF,0.0,24.27,-0.1487,0.0839,34.43,1.46,3.99,8.81,Consumer Non-Durables
BHBK,1.08,1.14,-0.0824,0.3135,30.68,0.0,6.32,8.02,Finance
BMCH,0.0,1.96,-0.1632,0.2945,32.57,0.48,0.43,4.17,Consumer Services
BNCN,0.62,1.84,-0.1386,0.48560000000000003,24.39,1.87,6.38,5.8,Finance
BOBE,2.03,6.11,-0.0024,1.1656,76.74,4.42,0.98,3.85,Consumer Services
BOFI,0.0,1.8,-0.31129999999999997,0.467,11.05,1.09,3.96,24.52,Finance
BOJA,0.0,2.91,-0.2304,0.1821,17.39,2.73,1.19,3.84,Consumer Services
BOKF,2.11,1.63,-0.0712,0.4704,19.47,1.99,3.83,13.39,Finance
BNSO,0.0,0.87,-0.4118,1.0325,3.41,0.0,0.61,2.35,Capital Goods
BPFH,2.95,1.72,-0.1751,0.36950000000000005,19.38,2.43,3.43,4.54,Finance
BPFHP,6.75,2.97,-0.1038,0.0935,33.81,0.0,5.93,0.0,Finance
BDGE,2.71,1.53,-0.1245,0.2677,17.27,0.0,4.94,10.66,Finance
BRID,0.0,2.91,-0.2256,0.33649999999999997,15.12,0.0,0.86,4.51,Consumer Non-Durables
BYFC,0.0,1.16,-0.2,0.40850000000000003,13.89,0.0,4.17,0.17,Finance
BWEN,0.0,1.11,-0.4133,0.5333,12.42,0.83,0.44,0.73,Capital Goods
BRCD,1.74,2.02,-0.004699999999999999,0.48590000000000005,86.51,3.09,2.18,8.49,Technology
BRKL,2.58,1.4,-0.1977,0.34619999999999995,18.67,2.98,4.89,2.64,Finance
BRKS,1.46,3.21,-0.044500000000000005,1.5858,40.7,2.07,2.89,1.17,Technology
BRKR,0.59,5.96,-0.0302,0.3788,28.67,3.67,2.66,3.72,Capital Goods
BMTC,2.03,1.81,-0.0593,0.49950000000000006,19.11,2.48,4.43,7.11,Finance
BLMT,0.0,1.53,-0.0333,0.335,20.03,0.0,5.1,13.66,Finance
BWLD,0.0,7.55,-0.1376,0.1324,32.69,1.67,1.23,3.69,Consumer Services
BLDR,0.0,4.78,-0.1582,0.5365,9.71,0.58,0.24,3.78,Consumer Services
CFFI,2.73,1.19,-0.09179999999999999,0.2263,12.28,0.0,1.89,2.64,Finance
CHRW,2.65,7.28,-0.174,0.022400000000000003,18.51,2.77,0.71,11.76,Transportation
CA,3.2,2.32,-0.0906,0.0603,17.2,22.25,3.3,6.35,Technology
CCMP,1.05,3.43,-0.0443,0.8933,23.9,2.09,4.04,3.37,Technology
CDNS,0.0,11.56,-0.0102,0.5194,44.9,2.39,5.27,4.82,Technology
CSTE,0.0,2.9,-0.1352,0.444,18.42,1.27,2.35,10.46,Capital Goods
CVGW,1.33,5.45,-0.0424,0.40409999999999996,32.44,4.09,1.24,13.36,Consumer Non-Durables
CFNB,2.66,0.92,-0.02,0.2924,14.27,0.0,5.7,4.97,Finance
CAC,2.26,1.58,-0.1015,0.5156000000000001,15.4,0.0,4.29,11.61,Finance
CAMT,0.0,2.85,-0.09050000000000001,2.2246,27.53,1.11,1.89,1.17,Capital Goods
CSIQ,0.0,0.9,-0.2995,0.2917,11.82,0.25,0.28,4.46,Technology
CPHC,1.89,1.25,-0.054400000000000004,0.0816,10.32,0.0,0.86,2.11,Consumer Services
