trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,0,-40.56263516075613,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.4181203352191771}",35,0,-31.912818986297385,"{0: 30, 1: 0, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582182}",25,0,-90.66434215443493,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530725}",20,0,-29.621958305406203,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.3584859224085419}",25,0,-73.01313901696167,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.34056162628811476}",30,0,-21.73278913700797,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.323533544973709}",20,0,-33.27160844392875,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.3073568677250236}",35,0,-5.171995279280478,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387724}",20,0,-51.13419846356211,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.27738957312183377}",20,0,-28.565849533040492,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.26352009446574204}",20,0,22.7547260333555,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.2503440897424549}",20,0,15.14667370054865,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.23782688525533216}",20,0,13.430416389891775,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.22593554099256555}",20,0,-5.999592729014948,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.21463876394293727}",25,0,-70.48667743941373,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.2039068257457904}",25,0,-44.789444388343846,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.19371148445850087}",25,0,-105.95307639398013,"{0: 18, 1: 0, 2: 2, 3: 5, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.1840259102355758}",20,0,-12.088260102138932,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.174824614723797}",20,0,1.5936340073415316,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.16608338398760716}",20,0,7.1488845568511685,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
